Fname,Minit,Lname,Ssn,Bdate,Address,Sex,Salary,Super_ssn,Dno,Dname,Pname
Jennifer,S,Wallace,987654321,1941-06-20,"291 Berry, Bellaire TX",F,43000,888665555,4,Administration,Reorganization
Jennifer,S,Wallace,987654321,1941-06-20,"291 Berry, Bellaire TX",F,43000,888665555,4,Administration,Newbenefits
Ahmad,V,Jabbar,987987987,1969-03-29,"980 Dallas, Houston TX",M,25000,987654321,4,Administration,Computerization
Ahmad,V,Jabbar,987987987,1969-03-29,"980 Dallas, Houston TX",M,25000,987654321,4,Administration,Newbenefits
Alicia,J,Zelaya,999887777,1968-01-19,"3321 Castle, Spring TX",F,25000,987654321,4,Administration,Computerization
Alicia,J,Zelaya,999887777,1968-01-19,"3321 Castle, Spring TX",F,25000,987654321,4,Administration,Newbenefits
James,E,Borg,888665555,1937-11-10,"450 Stone, Houston TX",M,55000,NULL,1,Headquarters,Reorganization
John,B,Smith,123456789,1965-01-09,"731 Fondren, Houston TX",M,30000,333445555,5,Research,ProductX
John,B,Smith,123456789,1965-01-09,"731 Fondren, Houston TX",M,30000,333445555,5,Research,ProductY
Franklin,T,Wong,333445555,1965-12-08,"638 Voss, Houston TX",M,40000,888665555,5,Research,ProductY
Franklin,T,Wong,333445555,1965-12-08,"638 Voss, Houston TX",M,40000,888665555,5,Research,ProductZ
Franklin,T,Wong,333445555,1965-12-08,"638 Voss, Houston TX",M,40000,888665555,5,Research,Computerization
Franklin,T,Wong,333445555,1965-12-08,"638 Voss, Houston TX",M,40000,888665555,5,Research,Reorganization
Joyce,A,English,453453453,1972-07-31,"5631 Rice, Houston TX",F,25000,333445555,5,Research,ProductX
Joyce,A,English,453453453,1972-07-31,"5631 Rice, Houston TX",F,25000,333445555,5,Research,ProductY
Ramesh,K,Narayan,666884444,1962-09-15,"975 Fire Oak, Humble TX",M,38000,333445555,5,Research,ProductZ
